"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"後藤　武敏　Ｇ．",6,2,0,1,1,0,0,1,0,0,0,0,1,5,0,1,0,0,1,3,1,1,0,0,0,4,0,0,0,0,1,10,3,0,2,0,3,5,1,3,0,4,1,2,0,0,0,0,0,2,2,0,0,0
"関根　大気",6,8,0,3,0,1,1,9,3,0,0,0,1,2,0,1,1,0,1,4,0,0,1,0,4,4,0,1,2,0,3,38,2,13,0,0,0,5,0,0,0,0,1,3,0,0,0,0,1,3,1,2,0,0
"松本　啓二朗",1,7,1,0,1,0,5,6,4,3,1,0,2,1,0,2,0,0,2,3,0,1,0,0,2,1,0,0,0,0,2,10,1,6,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"山口　俊",1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,8,4,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"山崎　憲晴",1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,2,2,0,1,0,0,2,0,0,0,0,0,2,4,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
"三嶋　一輝",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,3,6,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0
"飛雄馬",2,6,1,1,1,0,4,4,0,0,0,0,0,1,0,0,0,0,3,5,1,1,1,0,0,7,0,0,0,0,3,18,0,4,5,0,4,9,0,3,1,1,4,10,1,2,1,0,0,0,0,0,1,0
"髙城　俊人",7,8,2,0,0,0,2,7,0,4,0,0,2,4,0,1,0,0,2,5,0,3,1,0,2,7,0,1,0,0,14,26,3,3,3,1,2,2,2,2,1,0,0,6,0,2,0,0,0,0,0,0,0,0
"山下　幸輝",1,2,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,6,0,1,1,0,0,3,0,1,0,0,0,2,0,1,0,0,2,2,0,2,1,0
"井納　翔一",1,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,12,8,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"国吉　佑樹",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"モスコーソ",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
"高崎　健太郎",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"加賀　繁",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"荒波　翔",5,16,3,2,3,1,2,15,4,3,1,1,1,3,1,2,0,0,2,7,1,3,1,0,1,10,0,5,5,0,10,38,2,9,6,1,1,4,0,6,0,0,0,6,0,1,0,0,1,3,1,2,1,1
"白崎　浩之",5,5,1,2,0,0,6,9,1,1,1,1,3,4,0,3,1,0,5,12,1,4,2,1,3,6,0,3,0,0,13,42,5,12,4,1,4,10,1,3,0,0,2,5,0,0,0,1,1,4,0,1,0,0
